id,user_name,gender,comment,date
132,Исаев Архип Ильич,ayol,Gap yo'q,2024-08-16
133,Кулаков Агафон Архипович,ayol,"Onlayn banking interfeysi yaxshi, lekin kechikishlar bor",2025-01-13
134,Николаева Кира Натановна,erkak,"Hisobim bloklandi, yordam bering iltimos",2025-01-15
135,Ираида Руслановна Антонова,ayol,Bankomatdan pul yechishda ko'pincha 'server error' chiqadi. Bu muammoni imkon qadar tezroq hal qilishlaringizni so'rayman.,2025-03-03
136,Тамара Владимировна Логинова,ayol,"Ilovadagi yangi cashback funksiyasi haqida ma'lumot topa olmadim. Iltimos, ilova ichida batafsil tushuntirish qo'shing.",2025-02-04
137,Оксана Валентиновна Александрова,ayol,"Ilova yaxshi ishlayapti, lekin ba'zan sekinlashadi",2024-12-20
138,Емельянова Варвара Ивановна,erkak,"Ilova yaxshi ishlayapti, lekin ba'zan sekinlashadi",2024-04-30
139,Петухов Зиновий Германович,erkak,Anorbankning kredit takliflari va aksiya shartlari haqida ko'proq ma'lumot istardim. Marketing kampaniyalari aniqroq va osonroq tushunarli bo'lishi kerak.,2025-02-25
140,Молчанов Орест Андреевич,erkak,Internet banking orqali pul o'tkazishda ba'zan xatoliklar chiqadi va tranzaksiyalar to'liq amalga oshmaydi. Bu holat ko'proq tungi soatlarda kuzatiladi. Tuzatishingizni so'rayman.,2024-11-20
141,Уварова Варвара Дмитриевна,ayol,Norozi,2025-03-04
142,Захар Фокич Горшков,ayol,"Onlayn banking interfeysi yaxshi, lekin kechikishlar bor",2025-03-27
143,Селиверстов Лавр Захарьевич,ayol,Internet banking orqali pul o'tkazishda ba'zan xatoliklar chiqadi va tranzaksiyalar to'liq amalga oshmaydi. Bu holat ko'proq tungi soatlarda kuzatiladi. Tuzatishingizni so'rayman.,2025-02-01
144,Ян Давидович Мартынов,ayol,"Ilova yaxshi ishlayapti, lekin ba'zan sekinlashadi",2025-02-27
145,Максим Фёдорович Лапин,erkak,Norozi,2024-12-24
146,Петр Даниилович Сазонов,erkak,Operatorlar bilan bog'lanish qiyinroq bo'ldi,2024-05-11
147,Мельникова Ольга Геннадиевна,erkak,"Ilovadagi yangi cashback funksiyasi haqida ma'lumot topa olmadim. Iltimos, ilova ichida batafsil tushuntirish qo'shing.",2025-02-25
148,Савина Нина Яковлевна,ayol,"Yangi versiya yangilandi, interfeys ancha yaxshi",2024-10-11
149,Рогов Селиверст Игнатович,ayol,"Ilovadagi yangi cashback funksiyasi haqida ma'lumot topa olmadim. Iltimos, ilova ichida batafsil tushuntirish qo'shing.",2024-06-20
150,Артемьев Елизар Фёдорович,ayol,"Onlayn banking interfeysi yaxshi, lekin kechikishlar bor",2024-11-01
151,Никодим Иосифович Гордеев,ayol,"Hisobim bloklandi, yordam bering iltimos",2024-09-20
152,Нинель Альбертовна Шилова,erkak,"Mobil ilovada biometrik autentifikatsiya ishlamay qoldi. Ilovani qayta o'rnatdim, ammo muammo hal bo'lmadi. Iltimos, yordam bering.",2025-03-24
153,Мишина Прасковья Вениаминовна,ayol,Men yangi mijozman va Anorbankdagi xizmatlardan juda mamnunman. Hisob ochish jarayoni juda tez va qulay bo'ldi. Xodimlar mehribon va yordam berishga tayyor.,2024-08-22
154,Константинова Таисия Вениаминовна,erkak,"Yangi versiya yangilandi, interfeys ancha yaxshi",2024-06-10
155,Владимиров Валерий Бориславович,ayol,Tezroq,2024-05-08
156,Соловьева Милица Станиславовна,erkak,Tezroq,2024-08-08
157,Орехова Милица Святославовна,erkak,"Mobil ilovada biometrik autentifikatsiya ishlamay qoldi. Ilovani qayta o'rnatdim, ammo muammo hal bo'lmadi. Iltimos, yordam bering.",2024-08-15
158,Ершова Феврония Александровна,ayol,Rahmat,2025-04-12
159,Афанасьев Авдей Захарьевич,ayol,Bankomatdan pul yechishda ko'pincha 'server error' chiqadi. Bu muammoni imkon qadar tezroq hal qilishlaringizni so'rayman.,2024-12-11
160,Крылов Нестор Марсович,erkak,Norozi,2025-03-12
161,тов. Пахомов Амос Андреевич,ayol,"Salom, Anorbank ilovasidan juda mamnunman. Avval ko'p muammolar bo'lgan edi, lekin hozirgi yangilanishlardan keyin deyarli barcha xatoliklar tuzatilgan. Tezkor xizmat uchun rahmat!",2024-05-22
162,Герман Архипович Сафонов,erkak,Men yangi mijozman va Anorbankdagi xizmatlardan juda mamnunman. Hisob ochish jarayoni juda tez va qulay bo'ldi. Xodimlar mehribon va yordam berishga tayyor.,2025-01-07
163,Ким Витальевич Горшков,ayol,Internet banking orqali pul o'tkazishda ba'zan xatoliklar chiqadi va tranzaksiyalar to'liq amalga oshmaydi. Bu holat ko'proq tungi soatlarda kuzatiladi. Tuzatishingizni so'rayman.,2025-02-24
164,Исаев Любим Адамович,ayol,Men yangi mijozman va Anorbankdagi xizmatlardan juda mamnunman. Hisob ochish jarayoni juda tez va qulay bo'ldi. Xodimlar mehribon va yordam berishga tayyor.,2024-09-25
165,Ангелина Валентиновна Белова,ayol,"Yangi versiya yangilandi, interfeys ancha yaxshi",2024-10-25
166,Аксенов Любим Феодосьевич,erkak,"Pul ko'chirish jarayoni tez va oson bo'ldi, rahmat",2025-04-25
167,Василиса Егоровна Вишнякова,ayol,"Salom, Anorbank ilovasidan juda mamnunman. Avval ko'p muammolar bo'lgan edi, lekin hozirgi yangilanishlardan keyin deyarli barcha xatoliklar tuzatilgan. Tezkor xizmat uchun rahmat!",2024-06-20
168,Марк Гертрудович Гуляев,erkak,"Onlayn banking interfeysi yaxshi, lekin kechikishlar bor",2024-07-04
169,Александра Болеславовна Харитонова,ayol,Rahmat,2024-08-22
170,Сафонова Светлана Викторовна,erkak,Norozi,2025-01-31
171,Прасковья Антоновна Панфилова,erkak,Tezroq,2024-11-05
172,Кузьмин Софон Феофанович,ayol,Yaxshi,2024-06-02
173,Анисимов Кондратий Ермолаевич,ayol,"Mobil ilovada biometrik autentifikatsiya ishlamay qoldi. Ilovani qayta o'rnatdim, ammo muammo hal bo'lmadi. Iltimos, yordam bering.",2024-08-14
174,Власова Пелагея Филипповна,ayol,Anorbankning kredit takliflari va aksiya shartlari haqida ko'proq ma'lumot istardim. Marketing kampaniyalari aniqroq va osonroq tushunarli bo'lishi kerak.,2025-03-16
175,г-н Лапин Силантий Венедиктович,ayol,Kartani yangilash uchun ko'p vaqt ketdi,2024-05-16
176,Лапин Христофор Ефстафьевич,ayol,"Mening kredit kartam bloklandi va mijozlarga xizmat ko'rsatish markaziga murojaat qilganimda javob olish uchun ko'p kutishimga to'g'ri keldi. Iltimos, xizmat sifatini oshiring.",2025-03-19
177,Корнилова Нинель Харитоновна,ayol,Bloklangan kartani ochish uchun yana shaxsan filialga borish kerak ekan,2024-12-29
178,Белоусова Анжела Алексеевна,ayol,"Mening kredit kartam bloklandi va mijozlarga xizmat ko'rsatish markaziga murojaat qilganimda javob olish uchun ko'p kutishimga to'g'ri keldi. Iltimos, xizmat sifatini oshiring.",2024-04-27
179,Комиссарова Александра Дмитриевна,erkak,"Hisobim bloklandi, yordam bering iltimos",2024-07-14
180,Алевтина Тимуровна Турова,erkak,Kechirasiz,2024-10-09
181,Беспалов Сергей Фадеевич,erkak,Bloklangan kartani ochish uchun yana shaxsan filialga borish kerak ekan,2024-12-14
182,Коновалова Василиса Ниловна,erkak,Yaxshi,2024-05-15
183,Лавр Яковлевич Носков,ayol,Men yangi mijozman va Anorbankdagi xizmatlardan juda mamnunman. Hisob ochish jarayoni juda tez va qulay bo'ldi. Xodimlar mehribon va yordam berishga tayyor.,2025-04-13
184,Дементий Тихонович Комаров,ayol,Kartani yangilash uchun ko'p vaqt ketdi,2024-11-27
185,Пахомов Филипп Антонович,erkak,Bankomatdan pul yechishda ko'pincha 'server error' chiqadi. Bu muammoni imkon qadar tezroq hal qilishlaringizni so'rayman.,2025-01-07
186,Август Измаилович Русаков,erkak,"Onlayn banking interfeysi yaxshi, lekin kechikishlar bor",2024-12-15
187,Агата Геннадьевна Мартынова,erkak,"Yangi versiya yangilandi, interfeys ancha yaxshi",2024-06-04
188,Ангелина Николаевна Андреева,ayol,"Ilova yaxshi ishlayapti, lekin ba'zan sekinlashadi",2024-11-22
189,Матвеева Ирина Ниловна,ayol,"Mobil ilovada biometrik autentifikatsiya ishlamay qoldi. Ilovani qayta o'rnatdim, ammo muammo hal bo'lmadi. Iltimos, yordam bering.",2025-03-04
190,г-жа Зуева Екатерина Тимофеевна,ayol,"Onlayn banking interfeysi yaxshi, lekin kechikishlar bor",2024-11-20
191,Назарова Фаина Вячеславовна,ayol,"Mening kredit kartam bloklandi va mijozlarga xizmat ko'rsatish markaziga murojaat qilganimda javob olish uchun ko'p kutishimga to'g'ri keldi. Iltimos, xizmat sifatini oshiring.",2024-05-18
192,Святослав Юлианович Красильников,ayol,Tezroq,2024-05-26
193,Игнатьев Дмитрий Иосифович,ayol,Yaxshi,2024-11-01
